카테고리,슬러그,채널명,핸들,URL,유형,운영구분,설명,확인일자
개발 · 기술 · AI,tech-ai,AI MASTERS,@ai_masters_community,https://t.me/ai_masters_community,채널,커뮤니티,AI 큐레이션과 창작자 커뮤니티 소식,2026-08-21
개발 · 기술 · AI,tech-ai,GeekNews,@GeekNewsHada,https://t.me/GeekNewsHada,채널,공식,개발·기술·제품·오픈소스·스타트업 주요 소식,2026-08-21
개발 · 기술 · AI,tech-ai,안테나(안석현의 테크 나들이),@ahnttena,https://t.me/ahnttena,채널,커뮤니티,"KIPOST 안석현 팀장입니다. 반도체, 디스플레이, 2차전지 관련 기사 피드와 깊이 있는 분석을 제공합니다.",2026-08-21
뉴스 · 지식 · 교육,news-knowledge,리포트 공감능력📂,@attuner,https://t.me/attuner,채널,커뮤니티,내가 반말 좀 칠게 꼬우면 나가쟈 ⭐️손실 책임 없다. 반말까는데 내 말들 사람 있냐.,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,비큐BQ 김프알람방,@bq_kimp,https://t.me/bq_kimp,채널,커뮤니티,🐥유튜브: bit.ly/bqyoutube180 ✏️공지방: https://t.me/BQYoutube1 🚨김프 알람방: https://t.me/bq_kimp 💁‍♂️소통방: https://t.me/BQtalk 👀뉴스방: https://t.me/bq_n…,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,비큐BQ 뉴스방,@bq_news,https://t.me/bq_news,채널,커뮤니티,개인 디엠은-> @BQrypto Homepage:bqyoutube.com 🐥유튜브: https://bit.ly/bqcrypto ✏️공지방: https://t.me/BQTelegram 🚨김프 알람방: https://t.me/bq_kimp 💁‍♂️소통방…,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,비큐BQ 소통방,@BQKoreachat,https://t.me/BQKoreachat,채널,커뮤니티,방장: @BQrypto Homepage: https://bqyoutube.com 🐥유튜브: https://bit.ly/bqcrypto ✏️공지방: https://t.me/BQTelegram 🚨김프 알람방: https://t.me/bq_kimp 💁‍♂…,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,선수촌,@athletes_village,https://t.me/athletes_village,채널,커뮤니티,"*필독: 기관투자자, 금융업계전문가 및 이에 준하는 지식과 경험을 가진 분들(이하 ""선수들"")을 대상으로 잡다한 정보와 진실을 알아보는 '인문사회자연과학 탐사채널' 텔레그램 채널 선수촌 (이하 ""본 채널"")의 모든 권리는 본 채널의 관리자에게 있습니…",2026-08-21
뉴스 · 지식 · 교육,news-knowledge,외투영공: 외신·투자·영어·공부,@fnnews_en,https://t.me/fnnews_en,채널,커뮤니티,주요 외신을 활용한 경제·금융 정보와 영어 학습,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,인문 상식과 정보 채널,@saramgal,https://t.me/saramgal,채널,커뮤니티,가볍게 읽을 수 있는 인문학·사람·사회 관련 정보,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,전자신문 프리미엄,@etnewspremium,https://t.me/etnewspremium,채널,기관/회사,전자신문 프리미엄 기사 링크 모음,2026-08-21
